event_id,ticker,catalyst_type,catalyst_date,indication_text,is_cns,status
1000000,NRIX,Phase1,2026-06-11,Bexobrutideg (NX-5948),0,upcoming
1000001,Meeting,Other,2026-06-11,European Hematology Association (EHA),0,upcoming
1000002,CCCC,Phase1,2026-06-12,Cemsidomide (CFT7455) +/- dexamethasone,0,upcoming
1000003,CRBU,Phase1,2026-06-12,Vispa-cel (CB-010),0,upcoming
1000004,SNDX,Phase1/2,2026-06-12,Revumenib (SNDX-5613) + venetoclax + decitabine and cedazuridine,0,upcoming
1000005,INCY,Phase1,2026-06-12,INCA033989 (mCALR),0,upcoming
1000006,SNDX,Phase1,2026-06-12,Revumenib w/ 7+3 cytarabine + daunorubicin,0,upcoming
1000007,KURA,Phase1,2026-06-12,Ziftomenib + venetoclax/azacitidine,0,upcoming
1000008,ABBV,Phase1/2,2026-06-12,Etentamig (ABBV-383) (BCMAxCD3 Bispecific),0,upcoming
1000009,CLLS,Phase1,2026-06-13,UCART22,0,upcoming
1000010,CLYM,Phase1/2,2026-06-13,Budoprutug (CD19 Antibody),0,upcoming
1000011,SNDX,Phase1/2,2026-06-13,Revuforj/Revumenib (SNDX-5613) + Mezigdomide (CELMod) (Menin Inhibitor),0,upcoming
1000012,GILD,Phase1,2026-06-13,KITE-753 (CAR-T Therapy),0,upcoming
1000013,CRBU,Phase1,2026-06-14,CB-011,0,upcoming
1000014,KURA,Phase1,2026-06-14,Ziftomenib + venetoclax/azacitidine (ven/aza) or cytarabine/daunorubicin (7+3),0,upcoming
1000015,APTOF,Phase1/2,2026-06-14,Tuspetinib / Venetoclax / Azacitidine  triplet,0,upcoming
1000016,LEGN,Phase1,2026-06-14,LB2501 (In Vivo CAR-T),0,upcoming
1000017,QURE,Phase1/2,2026-06-18,AMT-260,0,upcoming
1000018,BCYC,Phase1/2,2026-06-30,"BT7480 (Nectin-4 CD137, TICA)",0,upcoming
1000019,ACIU,Phase1/2,2026-06-30,ACI-24.060 (anti-Abeta vaccine),0,upcoming
1000020,TCRX,Phase1,2026-06-30,TSC-101,0,upcoming
1000021,PASG,Phase1/2,2026-06-30,PBFT02 (AAV1),0,upcoming
1000022,NVS,Phase3,2026-06-30,Delpacibart Braxlosiran (del-brax/AOC 1020),0,upcoming
1000023,TSHA,Phase1/2,2026-06-30,TSHA-102 ,0,upcoming
1000024,VSTM,Phase1/2,2026-06-30,"Avutometinib (VS-6766), + defactinib+gemcitabine/nab-paclitaxel",0,upcoming
1000025,HOWL,Phase1/2,2026-06-30,WTX-330 (IL-2 INDUKINE™),0,upcoming
1000026,MRKR,Phase1,2026-06-30,MT-601 (Neldaleucel),0,upcoming
1000027,TSHA,Phase1/2,2026-06-30,TSHA-102,0,upcoming
1000028,PHIO,Phase1,2026-06-30,PH-762,0,upcoming
1000029,VSTM,Phase1/2,2026-06-30,GFH375 (VS-7375),0,upcoming
1000030,CNTX,Phase1,2026-06-30,CTIM-76,0,upcoming
1000031,CHRS,Phase1,2026-06-30,CHS-114 (SRF114),0,upcoming
1000032,KTTA,Phase1,2026-06-30,PAS-004,0,upcoming
1000033,AQST,Phase1,2026-06-30,AQST-108 (epinephrine) Topical Gel,0,upcoming
1000034,HCWB,Phase1,2026-06-30,HCW9302,0,upcoming
1000035,AMLX,Phase1,2026-06-30,AMX0114,0,upcoming
1000036,DFTX,Phase3,2026-06-30,MM120 (lysergide D-tartrate),0,upcoming
1000037,IPHA,Phase1,2026-06-30,IPH4502,0,upcoming
1000038,ARGX,Phase1,2026-06-30,ARGX-213,0,upcoming
1000039,ARGX,Phase1,2026-06-30,ARGX-121,0,upcoming
1000040,PRQR,Phase1,2026-06-30,AX-0810,0,upcoming
1000041,OSTX,Phase1,2026-06-30,OST-504,0,upcoming
1000042,CAPR,Phase1,2026-06-30,StealthX vaccine,0,upcoming
1000043,EWTX,Phase1,2026-06-30,EDG-15400,0,upcoming
1000044,ABSI,Phase1/2,2026-06-30,ABS-201,0,upcoming
1000045,FBRX,Phase1,2026-06-30,FB102 (Anti-CD122 Antibody),0,upcoming
1000046,MCRB,Phase1,2026-06-30,SER-155 (Live Biotherapeutic),0,upcoming
