instance	n	best_known_k	our_k	deficit	deficit_pct	official_score	wtime_s
heuristic000	616	424	491	67	15.8	0.4239	19.31
heuristic001	80	61	66	5	8.2	0.5429	19.30
heuristic002	621	317	374	57	18.0	0.6602	19.31
heuristic003	401	147	162	15	10.2	0.8063	19.31
heuristic004	1019	697	798	101	14.5	0.4711	19.31
heuristic005	350	289	323	34	11.8	0.1959	19.30
heuristic006	1244	831	963	132	15.9	0.4629	19.32
heuristic007	300	245	272	27	11.0	0.2592	19.31
heuristic008	621	322	374	52	16.1	0.6824	19.31
heuristic009	453	146	150	4	2.7	0.9460	19.30
heuristic010	421	134	148	14	10.4	0.8020	19.31
heuristic011	261	165	188	23	13.9	0.5782	19.30
heuristic012	80	62	66	4	6.5	0.6049	19.31
heuristic013	1243	798	926	128	16.0	0.5075	19.32
heuristic014	250	200	222	22	11.0	0.3136	19.30
heuristic015	80	59	63	4	6.8	0.6553	19.30
heuristic016	773	515	575	60	11.7	0.5890	19.31
heuristic017	621	312	366	54	17.3	0.6810	19.31
heuristic018	267	135	149	14	10.4	0.7991	19.31
heuristic019	165	134	147	13	9.7	0.3371	19.30
heuristic020	100	77	84	7	9.1	0.4839	19.31
heuristic021	160	131	145	14	10.7	0.2675	19.31
heuristic022	150	121	132	11	9.1	0.3853	19.31
heuristic023	776	474	549	75	15.8	0.5650	19.31
heuristic024	140	114	124	10	8.8	0.3787	19.30
heuristic025	1759	587	683	96	16.4	0.6997	19.31
heuristic026	14734	6417	7342	925	14.4	0.7325	20.00
heuristic027	120	96	102	6	6.2	0.5625	19.31
heuristic028	15692	7046	8057	1011	14.3	0.7336	20.00
heuristic029	14482	6600	7615	1015	15.4	0.7161	19.47
heuristic030	180	146	161	15	10.3	0.3123	19.31
heuristic031	14015	6289	7204	915	14.5	0.7302	20.01
heuristic032	160	128	140	12	9.4	0.3906	19.31
heuristic033	14063	6600	7557	957	14.5	0.7310	19.48
heuristic034	150	121	132	11	9.1	0.3853	19.31
heuristic035	250	199	222	23	11.6	0.3014	19.31
heuristic036	120	93	101	8	8.6	0.4952	19.31
heuristic037	1440	495	543	48	9.7	0.8155	19.30
heuristic038	1361	439	506	67	15.3	0.7181	19.31
heuristic039	307	120	124	4	3.3	0.9344	19.30
heuristic040	200	160	178	18	11.2	0.3025	19.30
heuristic041	4465	2710	3172	462	17.0	0.5428	19.61
heuristic042	1999	1271	1467	196	15.4	0.5340	19.38
heuristic043	2453	1528	1763	235	15.4	0.5564	19.35
heuristic044	1133	680	770	90	13.2	0.6421	19.31
heuristic045	80	59	62	3	5.1	0.7347	19.31
heuristic046	100	63	67	4	6.3	0.7955	19.30
heuristic047	350	223	253	30	13.5	0.5834	19.30
heuristic048	300	175	190	15	8.6	0.7744	19.31
heuristic049	100	65	68	3	4.6	0.8359	19.30
heuristic050	300	173	193	20	11.6	0.7098	19.31
heuristic051	1543	992	1141	149	15.0	0.5323	19.32
heuristic052	602	386	439	53	13.7	0.5695	19.31
heuristic053	100	62	64	2	3.2	0.8975	19.30
heuristic054	300	202	224	22	10.9	0.6014	19.31
heuristic055	200	108	115	7	6.5	0.8536	19.31
heuristic056	180	150	164	14	9.3	0.2844	19.31
heuristic057	2868	1765	2056	291	16.5	0.5420	19.34
